ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,label
3,310.465,310.891,311.377,311.827,312.342,312.881,313.455,314.081,314.73,315.524,316.334,317.319,318.472,319.831,321.495,323.433,325.703,328.244,331.021,334.097,337.727,342.337,348.945,358.773,374.358,399.839,440.768,506.61,610.226,769.372,1003.81,1329.41,1746.6,2233.46,2751.31,3244.54,3677.13,4033.08,4312.05,4530.61,6.92067,6.08932,5.572,5.31306,5.23861,5.42093,5.82544,6.50711,7.50589,8.82527,10.5809,12.8801,15.893,19.7233,24.6345,30.9027,38.8925,49.2472,62.7009,80.5498,104.308,136.297,178.977,235.521,310.105,407.834,533.837,693.269,888.134,1117.51,1368.21,1615.91,1822.34,1948.95,1970.79,1897.9,1746.56,1554.71,1368.72,1198.09,1
4,311.865,312.302,312.849,313.374,313.98,314.598,315.244,315.849,316.411,317.102,317.796,318.562,319.471,320.558,321.875,323.499,325.424,327.656,330.179,332.789,335.665,338.662,342.457,347.574,355.433,367.865,387.837,420.434,472.052,552.371,673.605,849.451,1089.76,1387.52,1724.24,2066.73,2385.05,2667.45,2878.2,3053.49,6.32541,5.64489,5.21452,4.94859,4.81649,4.82328,4.94726,5.24375,5.73914,6.49979,7.56184,8.97864,10.8371,13.2313,16.2922,20.159,24.9445,30.9598,38.5617,48.3528,61.2867,78.5977,101.926,133.086,174.728,229.667,301.281,393.243,508.278,647.572,808.06,980.507,1140.62,1266.83,1333.61,1328.07,1271.08,1160,1055.07,950.558,1
5,317.826,318.283,318.787,319.314,319.927,320.555,321.165,321.721,322.356,322.909,323.438,323.964,324.579,325.27,326.103,327.16,328.415,330.004,331.854,334.041,336.503,339.184,342.32,346.219,351.698,360.03,373.213,394.177,427.951,479.991,559.671,676.441,840.323,1058.69,1332.88,1655.29,2005.72,2359.59,2689.73,2979.97,7.04845,6.12043,5.45811,5.0036,4.70217,4.53349,4.43868,4.47586,4.69524,5.11398,5.78088,6.74494,8.04473,9.82006,12.1153,15.0884,18.9236,23.793,30.0259,37.9581,48.1241,61.5922,79.3754,103.082,134.811,176.956,232.288,304.099,395.506,509.433,645.738,801.832,970.396,1139,1288.71,1399.15,1456.08,1450.34,1393.48,1299.76,1
6,329.174,329.658,330.169,330.684,331.254,331.857,332.424,332.977,333.511,334.098,334.682,335.294,335.945,336.753,337.649,338.761,340.122,341.794,343.723,346.017,348.502,351.4,354.608,358.464,363.731,371.578,383.778,403.139,433.901,481.629,555.05,663.168,817.394,1027.65,1299.48,1632.72,2009.86,2407.24,2798.36,3153.95,7.50896,6.45992,5.73868,5.21805,4.85188,4.66588,4.57272,4.64838,4.92271,5.37622,6.07367,7.02834,8.3595,10.0901,12.3721,15.3274,19.0976,23.9202,30.0313,37.8389,47.8578,60.8909,78.1803,101.214,132.074,173.125,227.25,297.673,387.879,501.106,638.826,799.929,979.692,1168.28,1347.78,1497.46,1595.02,1626.44,1592.92,1513.16,1
7,330.723,331.189,331.692,332.211,332.773,333.385,333.989,334.519,335.052,335.621,336.204,336.841,337.58,338.352,339.287,340.393,341.776,343.465,345.481,347.814,350.419,353.298,356.43,360.133,365.038,372.124,382.804,399.456,425.47,465.524,526.686,618.506,752.535,944.932,1210.25,1559.35,1991.71,2485.55,2999.3,3502.69,6.63871,5.79376,5.22294,4.86803,4.59015,4.48652,4.44681,4.58122,4.88941,5.37549,6.07959,7.04307,8.39059,10.1519,12.4507,15.4263,19.2147,24.0682,30.1423,37.8924,47.7412,60.7594,77.8833,100.66,131.18,171.88,225.583,295.9,386.57,502.446,646.463,822.339,1029.77,1265.57,1515.8,1758.56,1961.03,2089.71,2129.78,2073.82,1
8,322.942,323.321,323.722,324.116,324.587,325.111,325.759,326.417,327.082,327.823,328.528,329.216,329.947,330.703,331.528,332.464,333.54,334.826,336.365,338.135,340.194,342.434,345.035,348.113,352.181,358.049,366.982,380.876,402.883,435.833,485.747,558.405,661.134,806.154,1005.87,1274.24,1623.31,2056.2,2567.09,3114.59,7.08243,6.01769,5.30227,4.84429,4.59191,4.52814,4.56944,4.744,5.03313,5.38239,5.89114,6.59233,7.55312,8.87912,10.6309,12.9721,15.9959,19.9313,25.0267,31.5607,39.9674,51.0905,65.6684,85.0586,110.964,145.435,191.03,250.572,327.601,425.209,546.928,695.498,875.387,1084.71,1322.12,1579.86,1839.05,2075.92,2259.52,2371.25,1
9,304.375,304.724,305.113,305.5,305.965,306.516,307.098,307.7,308.305,308.979,309.632,310.272,310.909,311.604,312.368,313.255,314.29,315.515,316.975,318.7,320.658,322.84,325.355,328.412,332.491,338.457,347.513,361.678,383.807,417.393,468.057,541.935,647.408,795.105,999.807,1275.11,1634.99,2077.9,2589.34,3140.59,6.22573,5.36021,4.79632,4.44673,4.24261,4.20382,4.24907,4.41005,4.68433,5.05569,5.56418,6.28209,7.27785,8.62469,10.4035,12.7678,15.8733,19.8265,25.0168,31.6857,40.2533,51.6192,66.495,86.319,112.815,148.052,194.543,255.278,333.765,433.245,557.351,708.735,890.765,1103.37,1344.39,1603.23,1860.55,2086.21,2248,2327.81,1
10,321.42,321.801,322.206,322.614,323.13,323.726,324.378,325.108,325.84,326.633,327.343,328.048,328.75,329.445,330.187,331.039,332.05,333.282,334.751,336.501,338.53,340.861,343.492,346.524,350.51,356.153,364.613,377.68,398.361,429.676,476.377,544.691,640.77,774.652,958.775,1205.4,1529.78,1936.83,2419.65,2950.26,7.07197,6.04739,5.33799,4.90862,4.68241,4.65238,4.70002,4.8714,5.10349,5.38745,5.80314,6.41031,7.26117,8.47161,10.1503,12.356,15.3061,19.0991,24.0395,30.3686,38.4611,49.1002,62.9338,81.3127,105.844,138.473,181.618,238.05,310.97,403.609,518.426,658.759,826.447,1023.97,1249.6,1495.78,1748.95,1981.98,2160.85,2272.84,1
17,321.375,321.796,322.281,322.735,323.258,323.815,324.368,324.933,325.423,325.978,326.546,327.119,327.746,328.534,329.414,330.543,331.891,333.607,335.58,337.921,340.56,343.429,346.54,350.061,354.393,360.318,369.078,382.561,403.934,436.714,487.24,563.366,676.387,839.927,1072.21,1391.72,1816.41,2350.53,2985.24,3671.68,5.94675,5.22406,4.76193,4.43113,4.24255,4.17031,4.19637,4.32633,4.61593,5.09601,5.77711,6.75977,8.05169,9.76192,12.0331,14.9091,18.5783,23.2196,29.085,36.5275,46.104,58.2834,74.3742,95.7442,124.419,162.773,213.804,281.055,369.076,482.523,626.464,805.873,1024.88,1284.51,1582.09,1905.88,2234.35,2533.35,2759.68,2883.31,2
18,326.405,326.841,327.315,327.8,328.371,329.035,329.697,330.378,331.03,331.686,332.345,333.004,333.728,334.575,335.602,336.813,338.318,340.095,342.209,344.577,347.078,349.873,352.83,356.285,360.787,367.262,377.176,392.554,416.932,454.497,512.789,601.26,732.536,923.467,1192.88,1560.11,2032.9,2603.7,3234.19,3881.98,6.68915,5.85786,5.33024,5.00245,4.81327,4.76808,4.80582,4.97763,5.27227,5.75868,6.45856,7.45685,8.84201,10.6722,13.0546,16.1115,20.0102,24.9303,31.1102,38.9912,49.2174,62.5132,80.1699,103.833,135.626,178.063,234.344,308.291,404.652,528.553,684.504,878.062,1112.03,1385.77,1689.11,2003.61,2297.87,2529.39,2666.91,2687.94,2
